id,user,crawler_time,post_time,link,like,comment,forward,child_comment_level,child_comment_comment_id,child_comment_comment_time,child_comment_like,child_comment_reply
8,b'ZKN',2020-07-22 05:50:06,2020-06-23 16:40:00,http://www.weibo.com/1649818571/J7YMhq7PV,354824,54255,80486,1.0,4519076494403911,2020-6-23 20:27,8320,1484
8,b'ZKN',2020-07-22 05:50:06,2020-06-23 16:40:00,http://www.weibo.com/1649818571/J7YMhq7PV,354824,54255,80486,1.0,4519082063370783,2020-6-23 20:49,7814,1689
8,b'ZKN',2020-07-22 05:50:06,2020-06-23 16:40:00,http://www.weibo.com/1649818571/J7YMhq7PV,354824,54255,80486,2.0,4519020701217165,2020-6-23 16:45,13408,
0,b'XKY',2020-07-22 05:48:58,2020-07-20 22:32:00,http://www.weibo.com/3081216591/Jc7CEucfx,300008,47250,177011,1.0,4528893078541140,2020-7-20 22:35,15822,12958
0,b'XKY',2020-07-22 05:48:58,2020-07-20 22:32:00,http://www.weibo.com/3081216591/Jc7CEucfx,300008,47250,177011,2.0,4529262469855242,2020-7-21 23:03,1024,
0,b'XKY',2020-07-22 05:48:58,2020-07-20 22:32:00,http://www.weibo.com/3081216591/Jc7CEucfx,300008,47250,177011,2.0,4529262616909159,2020-7-21 23:03,1547,
0,b'XKY',2020-07-22 05:48:58,2020-07-20 22:32:00,http://www.weibo.com/3081216591/Jc7CEucfx,300008,47250,177011,2.0,4529262860181872,2020-7-21 23:04,1617,
1,b'XKY',2020-07-22 05:49:11,2020-07-19 14:16:00,http://www.weibo.com/3081216591/JbUX02HLo,86904,20275,86471,,,,,
2,b'XKY',2020-07-22 05:49:18,2020-07-18 10:00:00,http://www.weibo.com/3081216591/JbJQdgq5S,219965,25649,151283,,,,,
3,b'XKY',2020-07-22 05:49:28,2020-07-15 18:52:00,http://www.weibo.com/3081216591/Jbl2UzAJJ,333907,67606,243538,1.0,4527025483942241,2020-7-15 18:54,16677,7764
3,b'XKY',2020-07-22 05:49:28,2020-07-15 18:52:00,http://www.weibo.com/3081216591/Jbl2UzAJJ,333907,67606,243538,1.0,4527035046694697,2020-7-15 19:32,14283,6206
3,b'XKY',2020-07-22 05:49:28,2020-07-15 18:52:00,http://www.weibo.com/3081216591/Jbl2UzAJJ,333907,67606,243538,1.0,4527035404256323,2020-7-15 19:33,13803,5629
